Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price (£)
Volkswagen,A4,2.322021183686493,Petrol,2003,111347,46838
Honda,Model 3,2.0556807095209497,Petrol,2017,10139,14977
Toyota,Fiesta,3.5335035420826153,Hybrid,2003,48466,20887
Tesla,C-Class,1.245996340308968,Diesel,2005,3532,42894
Honda,Corolla,3.656129066938313,Hybrid,2005,137613,47012
Nissan,Civic,3.202482504307822,Electric,2009,96803,30604
Volkswagen,Cruze,2.548955442317981,Petrol,2013,165932,46924
Audi,3 Series,3.483714313524177,Hybrid,2004,112142,4643
Volkswagen,Cruze,1.480906590316183,Hybrid,2002,95581,1863
Audi,Model 3,3.1576563514621885,Hybrid,2003,159939,43173
Chevrolet,Corolla,4.0002456926675585,Electric,2011,118566,46180
BMW,Golf,3.5120870835861306,Petrol,2003,181639,22765
Honda,Golf,2.574119133205718,Diesel,2000,43024,49256
Volkswagen,Fiesta,2.3480994131761803,Electric,2019,50890,26726
Volkswagen,A4,2.262979602552544,Diesel,2016,3773,6786
Toyota,C-Class,2.752538155422997,Electric,2005,183334,39445
Nissan,Corolla,2.2014736709932152,Electric,2015,129959,9621
Honda,Fiesta,1.5771142922232575,Electric,2018,189575,10375
Honda,Model 3,3.83754444172097,Diesel,2018,60609,1989
Chevrolet,Corolla,4.380437494332436,Hybrid,2021,176810,5042
Volkswagen,Fiesta,4.7499362415245105,Petrol,2003,84012,10938
Honda,Golf,1.3922799609194723,Diesel,2010,105276,29670
Ford,Corolla,3.1023177091527256,Electric,2018,100983,6550
BMW,Golf,1.0102790027752024,Electric,2006,189694,2831
Audi,Cruze,3.5599431445137717,Petrol,2003,154710,28599
BMW,Fiesta,1.9692865671143363,Hybrid,2018,166050,47336
Mercedes-Benz,Golf,3.542699533024921,Electric,2019,44207,46502
Chevrolet,Model 3,3.7685324723792064,Diesel,2016,189565,36383
Chevrolet,C-Class,4.127049129096161,Diesel,2005,66431,38644
Ford,Model 3,4.726671093451718,Diesel,2019,151883,3382
Ford,Golf,4.485370319798097,Electric,2022,153763,8187
Volkswagen,Model 3,2.3150590672364033,Petrol,2002,80548,28404
Honda,Civic,3.1928526011973744,Hybrid,2004,124824,20145
Ford,Civic,2.5404155021208545,Petrol,2022,119746,1665
Volkswagen,Cruze,2.7279613393893096,Hybrid,2022,169637,46873
Volkswagen,Corolla,3.958470420729087,Petrol,2010,116428,46622
Volkswagen,Corolla,4.649499157437227,Diesel,2018,48026,43062
Volkswagen,Civic,4.604108379845063,Petrol,2011,153852,41315
Tesla,Altima,4.320755331939338,Diesel,2012,103540,31030
Mercedes-Benz,Fiesta,4.323783592915063,Petrol,2008,60317,48151
Nissan,A4,1.6519955322252389,Electric,2020,173529,14079
Ford,Altima,1.2021726703537605,Electric,2001,75655,4543
BMW,A4,3.6108386037040447,Petrol,2021,19756,1694
Audi,Cruze,4.623058813610905,Hybrid,2010,197014,4268
Ford,Altima,3.748805701134611,Hybrid,2021,167933,19791
BMW,3 Series,1.5921725703034966,Diesel,2011,175550,17524
Mercedes-Benz,Civic,1.0554524297195047,Hybrid,2022,105646,32157
Chevrolet,A4,3.0842111144305133,Hybrid,2017,114555,28026
Mercedes-Benz,3 Series,4.589839318273622,Electric,2000,125795,37297
Volkswagen,Altima,1.129263522829874,Diesel,2013,165003,31873
Mercedes-Benz,Altima,2.7241352334206943,Electric,2018,80838,30020
BMW,Model 3,4.068882052800111,Electric,2014,199604,18217
Audi,Cruze,2.4770528587895053,Petrol,2016,122411,7620
BMW,C-Class,1.9476792515531582,Hybrid,2019,6945,42944
BMW,Golf,1.2965669753616451,Hybrid,2012,145167,40594
BMW,Fiesta,4.447258126444735,Petrol,2016,193191,21730
Toyota,Altima,4.876195295294043,Petrol,2014,110096,20503
Volkswagen,3 Series,2.2830940920150766,Hybrid,2022,10439,29801
Audi,Cruze,3.0453905033557245,Hybrid,2010,42473,17895
Mercedes-Benz,Cruze,1.468641906999678,Electric,2012,70871,7048
Ford,Golf,2.186921444846995,Diesel,2009,29951,29277
Nissan,C-Class,3.8063111216227186,Electric,2008,83529,17005
Honda,3 Series,3.784548826536957,Electric,2016,34176,8312
Chevrolet,Model 3,1.4858023146423616,Electric,2004,162744,17131
Volkswagen,Model 3,1.9495425217487905,Petrol,2018,89133,49571
Mercedes-Benz,A4,2.9725869067039072,Petrol,2002,154654,7646
Tesla,Model 3,1.262410885085957,Hybrid,2007,179498,39217
BMW,Civic,4.784789656092798,Diesel,2016,46979,44567
Mercedes-Benz,Golf,2.0586757796893025,Hybrid,2006,48354,27956
Volkswagen,Civic,3.7308091729665294,Diesel,2021,113643,25497
Nissan,Corolla,4.024344947688639,Petrol,2014,193207,43778
Honda,Model 3,2.7209056155462603,Electric,2016,108950,12944
BMW,Fiesta,4.398233928548461,Diesel,2004,21233,23602
Toyota,Altima,2.0087655004564384,Hybrid,2001,28470,4966
Mercedes-Benz,Civic,3.806605454888168,Diesel,2002,69512,44418
Tesla,3 Series,3.890014221528971,Diesel,2007,121401,8165
Volkswagen,Model 3,2.020886551874129,Diesel,2011,179763,40476
BMW,Fiesta,3.8914588322934556,Petrol,2002,10879,35177
Toyota,3 Series,4.537084500855746,Hybrid,2013,18916,13912
Mercedes-Benz,Corolla,2.6743092196892495,Diesel,2012,116329,14336
Audi,Civic,4.2977069754813755,Hybrid,2002,181126,16704
Chevrolet,A4,3.1265666705240105,Electric,2018,98819,24459
Tesla,Corolla,2.1503799041339047,Diesel,2007,12635,5893
Chevrolet,Model 3,4.311201746478471,Petrol,2022,57711,35987
Mercedes-Benz,C-Class,1.0928738896879642,Diesel,2018,198492,7928
Volkswagen,Fiesta,1.280145904162418,Petrol,2013,79985,20336
BMW,Cruze,1.854609782533299,Electric,2014,195696,39521
Volkswagen,Golf,4.26603555197609,Diesel,2003,140903,13761
Honda,3 Series,1.291289216368554,Petrol,2014,123047,34555
Chevrolet,Fiesta,2.1676963518614443,Petrol,2015,70136,43180
Volkswagen,Corolla,1.1253085733219792,Electric,2014,85639,11274
BMW,Model 3,2.573176820158396,Electric,2005,161995,14118
Nissan,A4,1.035370331348136,Electric,2009,13015,2779
Volkswagen,Model 3,4.315041017699642,Petrol,2007,101267,24398
Audi,Altima,2.2701019179366626,Electric,2000,79926,12172
BMW,Corolla,3.642375575506805,Electric,2016,116748,35259
Volkswagen,Fiesta,1.090191860581184,Hybrid,2018,122089,3827
Toyota,Fiesta,3.7980246163628064,Diesel,2014,5161,30587
Tesla,Golf,1.1715705686819886,Electric,2021,49552,2883
Honda,Cruze,4.7840009412095,Diesel,2012,128507,27155
Toyota,Golf,1.913494511261959,Electric,2003,35710,22079
BMW,C-Class,4.134714324210972,Petrol,2003,116058,8251
Toyota,Civic,2.1445928196178468,Electric,2006,62866,7325
Mercedes-Benz,Altima,2.5008278888266875,Diesel,2016,65356,7867
Audi,A4,3.058001645748427,Diesel,2015,90542,25260
Audi,Model 3,4.968899535987813,Diesel,2007,10475,37322
Mercedes-Benz,Cruze,3.4133631029143348,Electric,2003,9119,39151
Honda,Model 3,1.0682199786523152,Diesel,2002,110594,10597
Ford,Fiesta,1.4441904142233883,Electric,2008,34898,22014
Nissan,Golf,2.9621589571055,Diesel,2022,190008,33418
Chevrolet,Civic,3.2839493266871553,Petrol,2009,89719,20485
Honda,Corolla,4.110824400186262,Electric,2018,133799,22334
Chevrolet,Model 3,3.2925786899425673,Diesel,2002,191402,8309
Honda,Cruze,1.7657847520545453,Petrol,2004,11250,24589
Chevrolet,A4,3.1516096053151483,Diesel,2002,42331,19640
Chevrolet,Civic,3.0893347917606153,Hybrid,2019,3982,24930
Nissan,Corolla,2.8441402411579966,Hybrid,2002,136879,14659
Chevrolet,Cruze,2.8719840255488323,Diesel,2012,155036,18594
Toyota,Model 3,4.823127519404879,Diesel,2015,84357,14010
Chevrolet,Cruze,4.6836429612673856,Electric,2020,92621,14367
Nissan,Model 3,4.808748874561546,Petrol,2014,41641,49608
Honda,Golf,1.2370888135469307,Petrol,2010,57481,6251
Tesla,Corolla,4.865205061225784,Electric,2002,145039,5482
Nissan,Fiesta,1.0580238507309772,Petrol,2005,57224,1715
Ford,3 Series,1.671151466332958,Hybrid,2002,53181,25908
Ford,C-Class,3.5944173449402106,Hybrid,2002,176477,24643
Mercedes-Benz,Altima,3.0037074311200405,Hybrid,2003,61976,39421
BMW,Corolla,2.8540230169426306,Diesel,2001,176098,10760
Honda,Cruze,3.3327589839589615,Diesel,2020,20700,46307
Tesla,Corolla,4.018300457154435,Petrol,2005,135110,23734
BMW,Cruze,2.0831004503447637,Electric,2016,72927,6179
Mercedes-Benz,Civic,3.842453462960516,Diesel,2003,20764,42297
Chevrolet,3 Series,3.120766149760589,Diesel,2022,67588,24237
Tesla,Altima,4.691892518349579,Hybrid,2019,168950,23752
Nissan,Altima,2.0189115309084706,Electric,2011,121367,35887
Ford,C-Class,4.00578917045173,Electric,2016,16955,31670
Tesla,A4,3.135839254706648,Electric,2008,97655,44841
Tesla,Corolla,4.946038366766285,Electric,2017,169665,40796
Honda,Altima,1.5570536562185935,Hybrid,2006,93172,8117
Nissan,3 Series,2.305134992028692,Diesel,2007,91839,45810
Nissan,Cruze,4.4773558735313586,Electric,2012,29283,34990
Audi,Cruze,2.474377877500321,Hybrid,2001,65991,38547
Tesla,3 Series,1.4549685712393026,Hybrid,2006,43794,47405
Mercedes-Benz,Cruze,2.144053834537705,Electric,2017,90059,11302
Toyota,Civic,3.957639805388264,Hybrid,2003,95135,12137
Mercedes-Benz,Golf,1.2880251654669181,Diesel,2018,35792,3464
Volkswagen,Fiesta,2.6778068589295416,Hybrid,2007,40182,48997
BMW,Civic,1.1958583616887002,Electric,2000,142354,45541
Honda,Altima,2.599810714941204,Petrol,2009,95196,38105
Toyota,A4,2.5171008537456614,Hybrid,2018,189252,4351
Ford,Model 3,4.075144986520708,Diesel,2013,178960,33529
Toyota,Golf,1.7983985787679013,Hybrid,2001,107088,4084
Honda,Golf,4.7717975729808755,Diesel,2021,87804,45544
Audi,3 Series,4.254334198472903,Electric,2007,103110,34963
Ford,Corolla,1.7082268170683226,Petrol,2004,70415,21713
Tesla,Golf,3.817579334286033,Electric,2000,178922,31893
Volkswagen,Civic,2.289943459195938,Electric,2010,94677,33022
Volkswagen,A4,1.6807367458760574,Hybrid,2012,80592,46064
Volkswagen,Fiesta,3.5858147308475297,Electric,2019,116652,37745
Volkswagen,Civic,1.99791149317319,Hybrid,2013,51692,24411
Mercedes-Benz,Civic,1.7219731081517793,Hybrid,2011,199854,19391
BMW,C-Class,3.650902818281449,Hybrid,2021,15378,6254
Nissan,A4,1.5378706787150564,Diesel,2013,109813,40766
Volkswagen,Cruze,4.987610763525394,Electric,2019,119191,32338
Ford,Golf,4.013435056159757,Diesel,2004,189592,7675
Mercedes-Benz,Corolla,2.812937843327419,Petrol,2005,144583,32853
Honda,Model 3,1.2088771072605495,Petrol,2022,89329,17402
Toyota,Cruze,1.57492684643125,Diesel,2001,89049,8724
Mercedes-Benz,A4,4.7717875188433085,Diesel,2011,32135,34028
Ford,Corolla,1.958457183841452,Electric,2005,56964,49349
Mercedes-Benz,Fiesta,1.1686514057186668,Petrol,2016,123318,21408
Ford,Altima,3.1624715326814723,Electric,2002,45124,38303
Toyota,Golf,3.438865516503442,Diesel,2007,5136,5867
Audi,C-Class,3.387763036130342,Petrol,2003,116124,44517
Audi,Cruze,3.0486256467232167,Electric,2018,76191,9795
Toyota,A4,2.7636087490367873,Diesel,2010,115355,21277
BMW,Altima,4.843973205460923,Petrol,2022,165295,38777
Nissan,Corolla,1.5215876417524394,Hybrid,2003,18121,8855
Audi,Civic,3.1024029766910886,Hybrid,2005,52465,43660
Audi,Fiesta,2.674437579643503,Electric,2022,62694,29166
Audi,Golf,2.5110594037951293,Electric,2010,161930,35507
Audi,Corolla,1.3675521439216087,Electric,2021,20073,4330
Ford,Fiesta,3.766064907191246,Diesel,2015,79549,15232
BMW,Civic,1.8160549548100917,Hybrid,2018,168298,42419
Chevrolet,C-Class,4.944191966921317,Electric,2004,47153,5734
Volkswagen,C-Class,2.2304234601267052,Electric,2011,40992,37881
Toyota,Civic,4.544185785097997,Petrol,2003,49361,9984
BMW,Corolla,4.855367923571631,Electric,2014,184108,36333
BMW,Corolla,2.017522930888212,Diesel,2021,115560,35853
Ford,Cruze,1.3950971704147639,Diesel,2001,127525,48051
Volkswagen,Model 3,1.850238291603433,Petrol,2009,90351,14489
BMW,Civic,1.7889028791424826,Electric,2000,92651,45718
Chevrolet,Golf,3.751510427538817,Diesel,2002,168434,14783
Nissan,Model 3,4.536831457142285,Petrol,2015,106196,15488
BMW,Golf,3.045049913636954,Petrol,2001,169524,35056
Chevrolet,Altima,4.958701937229405,Electric,2009,137985,21956
BMW,Civic,3.026362547298115,Diesel,2001,142853,45933
Mercedes-Benz,Altima,4.423643611402213,Petrol,2005,130114,11843
Ford,Model 3,3.787877446690345,Petrol,2015,192145,19480
Toyota,C-Class,4.217928763343753,Hybrid,2008,87396,30361
Nissan,Cruze,2.09403504895951,Petrol,2020,118554,8034
Nissan,Fiesta,4.637818492434604,Hybrid,2012,89779,26571
Honda,Fiesta,1.0178888472830225,Diesel,2021,55141,16158
Chevrolet,C-Class,3.939756693270417,Petrol,2021,110661,38001
Volkswagen,Civic,4.540570519850673,Electric,2006,17157,46346
Ford,3 Series,1.4240467701993578,Diesel,2022,101834,36734
Chevrolet,C-Class,2.9792140796532123,Hybrid,2016,80554,47180
Tesla,Civic,4.251689258508322,Petrol,2003,54862,2058
BMW,C-Class,1.7651212383633328,Diesel,2007,62123,49245
Audi,Model 3,3.8583539300481187,Hybrid,2007,141032,45783
Ford,Altima,4.974358288229245,Hybrid,2013,198926,32154
Chevrolet,Corolla,1.5851991259176237,Diesel,2003,113771,33023
Volkswagen,Civic,4.441152943663788,Diesel,2001,48441,12957
Chevrolet,Model 3,3.9704592992324343,Hybrid,2004,1942,11449
Toyota,Altima,4.05490162150182,Petrol,2014,42395,7001
Mercedes-Benz,Model 3,4.631588098118311,Diesel,2019,151262,24774
Tesla,A4,3.782492910816264,Electric,2015,183257,48056
Mercedes-Benz,C-Class,3.7196166882306536,Hybrid,2005,59061,18674
Toyota,A4,1.66669690756932,Diesel,2012,198988,5922
Mercedes-Benz,A4,4.2954406935914164,Diesel,2019,140458,13914
Mercedes-Benz,Model 3,3.3578521404944435,Petrol,2005,63007,13625
Nissan,Cruze,1.4875269001420364,Petrol,2011,118809,24077
Honda,Golf,4.147511136242317,Petrol,2002,190897,2866
Nissan,Altima,1.0430814383581932,Petrol,2002,164758,31337
Ford,Model 3,3.51837702032934,Diesel,2014,64463,26248
BMW,Cruze,1.520865011624489,Diesel,2007,185572,42922
Toyota,A4,2.222730995838771,Electric,2002,38894,4242
Audi,Cruze,4.01534483210224,Petrol,2019,1799,43721
Chevrolet,Model 3,2.9823220673537962,Electric,2003,37032,39528
Tesla,Corolla,3.544269180925303,Petrol,2012,69060,36257
Tesla,Civic,2.5152261217207394,Petrol,2016,54998,19237
Toyota,C-Class,4.876930068984638,Diesel,2007,87294,22391
Mercedes-Benz,Cruze,3.792851112373139,Hybrid,2022,189081,41284
Toyota,3 Series,3.3026864548976076,Petrol,2012,54525,33023
BMW,Cruze,4.176694054925484,Electric,2005,47664,49682
BMW,Cruze,3.0973786274800275,Petrol,2013,65628,21768
Toyota,3 Series,1.16934271446081,Hybrid,2019,38592,7292
Nissan,3 Series,4.330701677652668,Petrol,2022,148118,3971
Volkswagen,A4,3.999850973105928,Electric,2016,127603,42521
BMW,3 Series,4.023537011604253,Hybrid,2010,34574,38270
BMW,Golf,2.0942356171744723,Electric,2016,182682,5256
Tesla,Civic,1.2241791687610926,Electric,2014,34965,38062
